time	O2	CO2
2.153	9.59E-04	2.99464E-06
5.492	9.57E-04	3.06303E-06
8.830	9.60E-04	3.20302E-06
12.168	9.63E-04	3.31301E-06
15.507	9.57E-04	3.4221E-06
18.846	9.55E-04	3.53778E-06
22.184	9.56E-04	3.6625E-06
25.523	9.62E-04	3.78567E-06
28.861	9.58E-04	3.88572E-06
32.199	9.51E-04	4.00509E-06
35.537	9.62E-04	4.15319E-06
38.876	9.53E-04	4.25115E-06
42.215	9.56E-04	4.41628E-06
45.553	9.61E-04	4.56345E-06
48.891	9.59E-04	4.70998E-06
52.230	9.56E-04	4.87576E-06
55.568	9.53E-04	5.04285E-06
58.906	9.58E-04	5.27367E-06
62.245	9.53E-04	5.49093E-06
65.584	9.54E-04	5.79617E-06
68.922	9.54E-04	6.07198E-06
72.261	9.59E-04	6.51419E-06
75.599	9.58E-04	6.9542E-06
78.938	9.47E-04	7.44846E-06
82.276	9.50E-04	8.06608E-06
85.615	9.53E-04	8.78717E-06
88.953	9.54E-04	9.63709E-06
92.291	9.49E-04	1.06051E-05
95.630	9.44E-04	1.16575E-05
98.969	9.43E-04	1.2851E-05
102.307	9.47E-04	1.42791E-05
105.646	9.41E-04	1.58383E-05
108.983	9.31E-04	1.75073E-05
112.322	9.32E-04	1.94441E-05
115.660	9.32E-04	2.14973E-05
118.999	9.29E-04	2.35661E-05
122.338	9.29E-04	2.58354E-05
125.676	9.29E-04	2.81513E-05
129.014	9.16E-04	3.02141E-05
132.353	9.17E-04	3.24259E-05
135.691	9.15E-04	3.46667E-05
139.030	9.11E-04	3.66729E-05
142.368	9.07E-04	3.81945E-05
145.707	9.12E-04	4.00866E-05
149.045	9.10E-04	4.14331E-05
152.383	9.07E-04	4.24717E-05
155.722	9.06E-04	4.34005E-05
159.061	9.02E-04	4.39531E-05
162.399	9.00E-04	4.45144E-05
165.738	8.96E-04	4.50193E-05
169.077	9.00E-04	4.56028E-05
172.415	8.98E-04	4.59929E-05
175.754	9.02E-04	4.65416E-05
179.092	9.00E-04	4.68229E-05
182.431	8.97E-04	4.6864E-05
185.769	8.98E-04	4.71013E-05
189.108	8.95E-04	4.71994E-05
192.447	9.00E-04	4.76355E-05
195.786	9.00E-04	4.78125E-05
199.124	8.98E-04	4.79586E-05
202.462	8.93E-04	4.78038E-05
205.801	8.99E-04	4.82578E-05
209.139	8.97E-04	4.84162E-05
212.478	8.97E-04	4.85316E-05
215.817	8.98E-04	4.87803E-05
219.156	8.99E-04	4.90431E-05
222.494	8.93E-04	4.89214E-05
225.833	8.93E-04	4.89894E-05
229.172	8.95E-04	4.93366E-05
232.511	8.95E-04	4.95729E-05
235.850	8.94E-04	4.96038E-05
239.188	8.97E-04	4.97762E-05
242.527	8.93E-04	4.97288E-05
245.865	8.94E-04	5.00097E-05
249.204	8.95E-04	5.01446E-05
252.543	8.91E-04	5.00439E-05
255.881	8.93E-04	5.01104E-05
259.219	8.94E-04	5.04698E-05
262.558	8.94E-04	5.04397E-05
265.897	8.93E-04	5.04971E-05
269.236	8.91E-04	5.05554E-05
272.574	8.95E-04	5.09098E-05
275.913	8.91E-04	5.0737E-05
279.252	8.92E-04	5.09067E-05
282.590	8.92E-04	5.08992E-05
285.929	8.92E-04	5.10788E-05
289.268	8.93E-04	5.1279E-05
292.606	8.92E-04	5.12953E-05
295.945	8.94E-04	5.15582E-05
299.283	8.91E-04	5.14513E-05
302.622	8.93E-04	5.17969E-05
305.961	8.92E-04	5.17658E-05
309.300	8.90E-04	5.17949E-05
312.638	8.92E-04	5.20252E-05
315.978	8.91E-04	5.212E-05
330.292	8.90E-04	5.25728E-05
333.630	8.91E-04	5.27059E-05
336.969	8.90E-04	5.27614E-05
340.307	8.90E-04	5.29198E-05
343.646	8.91E-04	5.30967E-05
346.985	8.91E-04	5.32372E-05
350.323	8.90E-04	5.32799E-05
